"Dialect","Coptic Form","Coptic Transcription","Number","Gender","Coptic Meaning (Crum)","Class","Subclass","Property Type","Literal Interpretation (Kilani 2026)","Vocalic Pattern","Interpretation (Kilani 2026)","Suffix","Distinctive Vowel","Root ID","Pre-Coptic Root","Root Type","TLA IS","TLA en","TLE de","TLA - date first attestation"
"S","ϩⲧⲟ","","1 | sg.","1 | m.","horse, mare - etym. < 'yoke', 'harness'","concrete "," object > animal","act","the one binding togher = yoke > horse","cvcV'c/vt","cvc:a:'c","","a","249","ḥ.t.r","dyn","111860","to bind together","binden; zusammenbinden","2321"
"S","ϩⲧⲱⲣⲉ","","1 | sg.","2 | f.","horse, mare - etym. < 'yoke', 'harness'","concrete "," object > animal","act","the one binding togher = yoke > horse","cvcV'c/vt","cvca:'cvt","","a","249","ḥ.t.r","dyn","111860","to bind together","binden; zusammenbinden","2321"
"S","ϩⲧⲱ","","1 | sg.","1 | m.","horse, mare - etym. < 'yoke', 'harness'","concrete "," object > animal","act","the one binding togher = yoke > horse","cvcV'cy/vt","cvca:'cvy","","a","249","ḥ.t.r","dyn","111860","to bind together","binden; zusammenbinden","2321"
"S","ϩⲧⲟⲟⲣⲉ","","1 | sg.","2 | f.","horse, mare - etym. < 'yoke', 'harness'","concrete "," object > animal","act","the one binding togher = yoke > horse","cvcV'cy/vt","cvca:'cyvt","","a","249","ḥ.t.r","dyn","111860","to bind together","binden; zusammenbinden","2321"
"S","ϩⲧⲟⲡ","","1 | sg.","1 | m.","a vessel (used as a measure)","concrete "," object > animal","act","the embracing/enclosing one","cvcV'c","cvc:a:'c","","a","2310","ḥ.t.p","dyn","104230","to embrace; to enclose","umarmen; umfassen","1939"
"S","ϣϭⲁⲡ","","0 | –","0 | –","cry, sound (as nouns)","concrete "," sound","res/pass","the shouted one","cvcV'c","cvc:E:'c","","E","2052","s.g.p","dyn","147150","to shriek; to shout","schreien","1292"
"S","ϩⲧⲟⲣ","","1 | sg.","1 | m.","necessity, constraint ","concrete/abstract","—","act","the binding one","cvcV'c","cvc:a:'c","","a","249","ḥ.t.r","dyn","111860","to bind together","binden; zusammenbinden","2321"
"S","ϫⲣⲟⲡ","","1 | sg.","1 | m.","obstacle, impediment (both physical and abstract)","concrete/abstract","—","act","the stumbling one (causing to stumble)","cvcV'c","cvc:a:'c","","a","711","ṯ.r.p","dyn/mov","176360","to stumble","torkeln (von Betrunkenen)","1202"
"S","ⲛⲁϣⲧⲉ","","0 | –","3 | m./f.","strength, strengthener, protector  | (as adj)","concrete/abstract","—","act","","cV'ccvy","cE'ccvy","","a/E","88","n.ḫ.t","dyn/res","87560","to be strong; to strengthen","stark sein; stärken; schützen","2375"
"S","ϩⲁⲧⲣⲉ","","1 | sg.","1 | m.","a doubled thing, twin; testicles (B)","concrete "," object/body part","res/pass","the one bound together","cvccV'y","cvccE'y","","E","249","ḥ.t.r","dyn","111860","to bind together","binden; zusammenbinden","2321"
"S","ⲙⲛⲧⲣⲉ","","1 | sg.","1 | m.","witness, testimony ","concrete "," object/human","res/pass","the (meant to be?) present one","cvccV'y/-t","cvccE'y","","E","70","m.t.r","qual/dyn","77640","to be present; to witness; to instruct","zugegen sein; bezeugen; unterweisen","2375"
"S","ⲙⲉⲧⲣⲏ","","1 | sg.","2 | f.","witness, testimony ","concrete "," object/human","res/pass","the (meant to be?) present one","cvccV'y/-t","cvccE'yvt","","E","70","m.t.r","qual/dyn","77640","to be present; to witness; to instruct","zugegen sein; bezeugen; unterweisen","2375"
"S","ⲙⲟⲧⲛ","","1 | sg.","1 | m.","health, ease","state "," physical","qual","the relaxed one (?)","cV'ccvy","ca'ccvy","","a","234","m.d.n","qual","78220","to relax; to be relaxed","ruhig sein","1202"
"S","ⲟⲩⲁⲥϥⲉ","","1 | sg.","2 | f.","idleness ","state "," physical","qual","the state of being idle","cV'ccv(y)t","cE'ccvyt","","E","915","w.z.f","dyn/res","49520","to be idle; to neglect (something)","träge sein; (etwas) vernachlässigen","2321"
"B","ⲥⲣⲟⲙ","","1 | sg.","1 | m.","unconsciousness, (moment of sleep) ","state "," physical","qual","the state of sliding away","cvcV'c","cvca:'c","","a","345","z.b.n","mov","131760","to slide away; to steer (a ship) off course; to make fall","gleiten; straucheln; fehlleiten; umstürzen","2375"
"S","ⲡⲟϭⲉ","","1 | sg.","2 | f.","(probably) battlefield","conrete "," place","res/pass","the open(ed) one","cV'ccv(y)t","ca'c(E)cvt","","a","1311","p.g.ꜣ","dyn","62730","to unfold; to open up","ausbreiten; öffnen","1980"
"S","ⲟⲛϩ","","1 | sg.","1 | m.","yard, court ","conrete "," place","qual","the enclosed one","cV'ccvy","ca'ccvy","","a","520","j.n.ḥ","qual","27710","to be surrounding; to surround; to enclose; to border","umgeben; einschließen; umzingeln","1939"
"S","ⲟⲩⲗⲡⲉ","","1 | sg.","0 | –","hollow(ed) place (?)","conrete "," place","res/pass","the pierced one","cV'ccvy","cE'ccvy","","E","3144","w.n.p","dyn","46600","to stab, to pierce","erstechen; fesseln","1939"
"S","ϣⲛⲁ","","1 | sg.","1 | m.","waste land (?)","conrete "," place","res/pass","the abandoned one","cvcV'c","cvc:E:'c","","E","1929","š.n.ꜥ","dyn","155680","to turn back; to detain; to hold back; to prevent","abhalten; zurückhalten","1980"
"B","ⲟⲩⲁϩⲟ","","1 | sg.","1 | m.","whereabouts, station, hostel","conrete "," place","unclear","the one laying down","cvccV'y","cvcca'y","","a","300157","w.ꜣ.ḥ","dyn/res","43010","to lay down; to offer; to endure","legen; dauern; opfern; zurücklassen","2613"
"B","ⲁϧⲓ","","1 | sg.","1 | m.","marsh herbage, sedge ","conrete "," place","unclear","the one growing green","cV'ccvy","ca'ccvy","","a/E","548","j.ꜣ.ḫ","dyn/res","199","to grow green; to flourish; to be inundated","(die Ernte) zusammenfegen","2558"
"S","ⲟⲩⲟⲉⲓϣ","","1 | sg.","1 | m.","time, occasion ","abstract "," time","qual","the spent one, the time spent","cV'ccvy","ca'ccvy","","a","219","w.r.š","existential_state","48130","to spend the day; to be awake","den Tag zubringen; wachen; verweilen","2414"
"S","ⲁϩⲉ","","1 | sg.","1 | m.","length, limit of life ","abstract "," time","postural","the stating one","cV'ccvy","ca'ccvy","","a/E","148","ꜥ.ḥ.ꜥ","postural","40110","to stand; to stand up","stehen; aufstehen","3150"
"S","ⲣⲟⲙⲡⲉ","","1 | sg.","2 | f.","year ","abstract "," time","qual","the one becoming young","cV'ccv(y)t","ca'ccvyt","","a","1328","r.n.p","qual","95000","to be young; to become young (again)","jung sein; jung werden; verjüngen","2375"
"S","ⲁⲗⲕⲉ","","1 | sg.","1 | m.","last day of month","abstract "," time","res/pass","the completed one","cvccV'y/-t","cvccE'y","","E","427","ꜥ.r.q","dyn","39630","to complete; to stop (doing something)","vollenden; aufhören (etwas zu tun)","2494"
"S","ⲁⲗⲕⲏ","","1 | sg.","1 | m.","last day of month","abstract "," time","res/pass","the completed one","cvccV'y/-t","cvccE'yvt","","E","427","ꜥ.r.q","dyn","39630","to complete; to stop (doing something)","vollenden; aufhören (etwas zu tun)","2494"
"S","ϭⲱⲣϩ","","1 | sg.","1 | m.","night, nightly (as denom adj) ","abstract "," time","qual","the quiet one","cV'cvc","ca'cvc","","a","233","g.r.ḥ","dyn/res","167880","to complete; to be satisfied with","(etwas) fertig machen; aufhören; zufrieden sein (jur.)","1939"
"B","ⲁⲗⲟⲕ","","1 | sg.","1 | m.","corner, angle ","concrete/abstract","—","qual","the bound one","cvcV'c","cvca:'c","","a","1810","ꜥ.r.q","dyn","39650","to tie on; to don (a garment); to swear","umbinden; schwören; beschwören","2345"
